Ndex,pokemon_name,pokemon_height,pokemon_weight,t1,t2,color,evolution
#191,Sunkern,0.3 m,1.8 kg,Grass,Unknown,Yellow,Sunflora
#190,Aipom,0.8 m,11.5 kg,Normal,Unknown,Purple,Ambipom
#189,Jumpluff,0.8 m,3.0 kg,Grass,Flying,Blue,Final
#185,Sudowoodo,1.2 m,38.0 kg,Rock,Unknown,Brown,Final
#192,Sunflora,0.8 m,8.5 kg,Grass,Unknown,Yellow,Final
#186,Politoed,1.1 m,33.9 kg,Water,Unknown,Green,Final
#188,Skiploom,0.6 m,1.0 kg,Grass,Flying,Green,Jumpluff
#184,Azumarill,0.8 m,28.5 kg,Water,Fairy,Blue,Final
#182,Bellossom,0.4 m,5.8 kg,Grass,Unknown,Green,Final
#181,Ampharos,1.4 m,61.5 kg,Electric,Unknown,Yellow,Final
#180,Flaaffy,0.8 m,13.3 kg,Electric,Unknown,Pink,Ampharos
#178,Xatu,1.5 m,15.0 kg,Psychic,Flying,Green,Final
#177,Natu,0.2 m,2.0 kg,Psychic,Flying,Green,Xatu
#183,Marill,0.4 m,8.5 kg,Water,Fairy,Blue,Azumarill
#175,Togepi,0.3 m,1.5 kg,Fairy,Unknown,White,Togetic
#174,Igglybuff,0.3 m,1.0 kg,Normal,Fairy,Pink,Jigglypuff
#173,Cleffa,0.3 m,3.0 kg,Fairy,Unknown,Pink,Clefairy
#172,Pichu,0.3 m,2.0 kg,Electric,Unknown,Yellow,Pikachu
#176,Togetic,0.6 m,3.2 kg,Fairy,Flying,White,Togekiss
#179,Mareep,0.6 m,7.8 kg,Electric,Unknown,White,Flaaffy
#171,Lanturn,1.2 m,22.5 kg,Water,Electric,Blue,Final
#170,Chinchou,0.5 m,12.0 kg,Water,Electric,Blue,Lanturn
#169,Crobat,1.8 m,75.0 kg,Poison,Flying,Purple,Final
#165,Ledyba,1.0 m,10.8 kg,Bug,Flying,Red,Ledian
#162,Furret,1.8 m,32.5 kg,Normal,Unknown,Brown,Final
#161,Sentret,0.8 m,6.0 kg,Normal,Unknown,Brown,Furret
#168,Ariados,1.1 m,33.5 kg,Bug,Poison,Red,Final
#167,Spinarak,0.5 m,8.5 kg,Bug,Poison,Green,Ariados
#166,Ledian,1.4 m,35.6 kg,Bug,Flying,Red,Final
#163,Hoothoot,0.7 m,21.2 kg,Normal,Flying,Brown,Noctowl
#164,Noctowl,1.6 m,40.8 kg,Normal,Flying,Brown,Final
#159,Croconaw,1.1 m,25.0 kg,Water,Unknown,Blue,Feraligatr
#160,Feraligatr,2.3 m,88.8 kg,Water,Unknown,Blue,Final
#158,Totodile,0.6 m,9.5 kg,Water,Unknown,Blue,Croconaw
#157,Typhlosion,1.7 m,79.5 kg,Fire,Unknown,Yellow,Final
#153,Bayleef,1.2 m,15.8 kg,Grass,Unknown,Green,Meganium
#155,Cyndaquil,0.5 m,7.9 kg,Fire,Unknown,Yellow,Quilava
#154,Meganium,1.8 m,100.5 kg,Grass,Unknown,Green,Final
#156,Quilava,0.9 m,19.0 kg,Fire,Unknown,Yellow,Typhlosion
#152,Chikorita,0.9 m,6.4 kg,Grass,Unknown,Green,Bayleef
#150,Mewtwo,2.0 m,122.0 kg,Psychic,Unknown,Purple,Final
#149,Dragonite,2.2 m,210.0 kg,Dragon,Flying,Brown,Final
#148,Dragonair,4.0 m,16.5 kg,Dragon,Unknown,Blue,Dragonite
#147,Dratini,1.8 m,3.3 kg,Dragon,Unknown,Blue,Dragonair
#146,Moltres,2.0 m,60.0 kg,Fire,Flying,Yellow,Final
#151,Mew,0.4 m,4.0 kg,Psychic,Unknown,Pink,Final
#145,Zapdos,1.6 m,52.6 kg,Electric,Flying,Yellow,Final
#138,Omanyte,0.4 m,7.5 kg,Rock,Water,Blue,Omastar
#137,Porygon,0.8 m,36.5 kg,Normal,Unknown,Pink,Porygon2
#143,Snorlax,2.1 m,460.0 kg,Normal,Unknown,Black,Final
#142,Aerodactyl,1.8 m,59.0 kg,Rock,Flying,Purple,Final
#144,Articuno,1.7 m,55.4 kg,Ice,Flying,Blue,Final
#141,Kabutops,1.3 m,40.5 kg,Rock,Water,Brown,Final
#140,Kabuto,0.5 m,11.5 kg,Rock,Water,Brown,Kabutops
#139,Omastar,1.0 m,35.0 kg,Rock,Water,Blue,Final
#136,Flareon,0.9 m,25.0 kg,Fire,Unknown,Red,Final
#135,Jolteon,0.8 m,24.5 kg,Electric,Unknown,Yellow,Final
#132,Ditto,0.3 m,4.0 kg,Normal,Unknown,Purple,Final
#128,Tauros,1.4 m,88.4 kg,Normal,Unknown,Brown,Final
#134,Vaporeon,1.0 m,29.0 kg,Water,Unknown,Blue,Final
#133,Eevee,0.3 m,6.5 kg,Normal,Unknown,Brown,Vaporeon;Glaceon;Jolteon;Flareon;Umbreon;Leafeon;Sylveon;Espeon
#127,Pinsir,1.5 m,55.0 kg,Bug,Unknown,Brown,Final
#131,Lapras,2.5 m,220.0 kg,Water,Ice,Blue,Final
#129,Magikarp,0.9 m,10.0 kg,Water,Unknown,Red,Gyarados
#130,Gyarados,6.5 m,235.0 kg,Water,Flying,Blue,Final
#125,Electabuzz,1.1 m,30.0 kg,Electric,Unknown,Yellow,Electivire
#124,Jynx,1.4 m,40.6 kg,Ice,Psychic,Red,Final
#123,Scyther,1.5 m,56.0 kg,Bug,Flying,Green,Scizor
#122,Mr. Mime,1.3 m,54.5 kg,Psychic,Fairy,Pink,Mr. Rime
#121,Starmie,1.1 m,80.0 kg,Water,Psychic,Purple,Final
#126,Magmar,1.3 m,44.5 kg,Fire,Unknown,Red,Magmortar
#118,Goldeen,0.6 m,15.0 kg,Water,Unknown,Red,Seaking
#117,Seadra,1.2 m,25.0 kg,Water,Unknown,Blue,Kingdra
#116,Horsea,0.4 m,8.0 kg,Water,Unknown,Blue,Seadra
#114,Tangela,1.0 m,35.0 kg,Grass,Unknown,Blue,Tangrowth
#119,Seaking,1.3 m,39.0 kg,Water,Unknown,Red,Final
#113,Chansey,1.1 m,34.6 kg,Normal,Unknown,Pink,Blissey
#115,Kangaskhan,2.2 m,80.0 kg,Normal,Unknown,Brown,Final
#120,Staryu,0.8 m,34.5 kg,Water,Unknown,Brown,Starmie
#107,Hitmonchan,1.4 m,50.2 kg,Fighting,Unknown,Brown,Final
#112,Rhydon,1.9 m,120.0 kg,Ground,Rock,Gray,Rhyperior
#111,Rhyhorn,1.0 m,115.0 kg,Ground,Rock,Gray,Rhydon
#110,Weezing,1.2 m,9.5 kg,Poison,Unknown,Purple,Final
#106,Hitmonlee,1.5 m,49.8 kg,Fighting,Unknown,Brown,Final
#109,Koffing,0.6 m,1.0 kg,Poison,Unknown,Purple,Weezing
#108,Lickitung,1.2 m,65.5 kg,Normal,Unknown,Pink,Lickilicky
#105,Marowak,1.0 m,45.0 kg,Ground,Unknown,Brown,Final
#104,Cubone,0.4 m,6.5 kg,Ground,Unknown,Brown,Marowak
#103,Exeggutor,2.0 m,120.0 kg,Grass,Psychic,Yellow,Final
#102,Exeggcute,0.4 m,2.5 kg,Grass,Psychic,Pink,Exeggutor
#101,Electrode,1.2 m,66.6 kg,Electric,Unknown,Red,Final
#099,Kingler,1.3 m,60.0 kg,Water,Unknown,Red,Final
#100,Voltorb,0.5 m,10.4 kg,Electric,Unknown,Red,Electrode
#098,Krabby,0.4 m,6.5 kg,Water,Unknown,Red,Kingler
#097,Hypno,1.6 m,75.6 kg,Psychic,Unknown,Yellow,Final
#096,Drowzee,1.0 m,32.4 kg,Psychic,Unknown,Yellow,Hypno
#095,Onix,8.8 m,210.0 kg,Rock,Ground,Gray,Steelix
#093,Haunter,1.6 m,0.1 kg,Ghost,Poison,Purple,Gengar
#092,Gastly,1.3 m,0.1 kg,Ghost,Poison,Purple,Haunter
#091,Cloyster,1.5 m,132.5 kg,Water,Ice,Purple,Final
#090,Shellder,0.3 m,4.0 kg,Water,Unknown,Purple,Cloyster
#089,Muk,1.2 m,30.0 kg,Poison,Unknown,Purple,Final
#094,Gengar,1.5 m,40.5 kg,Ghost,Poison,Purple,Final
#087,Dewgong,1.7 m,120.0 kg,Water,Ice,White,Final
#081,Magnemite,0.3 m,6.0 kg,Electric,Steel,Gray,Magneton
#086,Seel,1.1 m,90.0 kg,Water,Unknown,White,Dewgong
#085,Dodrio,1.8 m,85.2 kg,Normal,Flying,Brown,Final
#084,Doduo,1.4 m,39.2 kg,Normal,Flying,Brown,Dodrio
#083,Farfetch'd,0.8 m,15.0 kg,Normal,Flying,Brown,Final
#082,Magneton,1.0 m,60.0 kg,Electric,Steel,Gray,Magnezone
#088,Grimer,0.9 m,30.0 kg,Poison,Unknown,Purple,Muk;Alolan Muk
#073,Tentacruel,1.6 m,55.0 kg,Water,Poison,Blue,Final
#080,Slowbro,1.6 m,78.5 kg,Water,Psychic,Pink,Final
#079,Slowpoke,1.2 m,36.0 kg,Water,Psychic,Pink,Slowbro;Slowking;Galarian Slowking;Galarian Slowbro
#078,Rapidash,1.7 m,95.0 kg,Fire,Unknown,Yellow,Final
#076,Golem,1.4 m,300.0 kg,Rock,Ground,Brown,Final
#077,Ponyta,1.0 m,30.0 kg,Fire,Unknown,Yellow,Galarian Rapidash;Rapidash
#075,Graveler,1.0 m,105.0 kg,Rock,Ground,Brown,Alolan Golem;Golem
#074,Geodude,0.4 m,20.0 kg,Rock,Ground,Brown,Graveler
#071,Victreebel,1.7 m,15.5 kg,Grass,Poison,Green,Final
#072,Tentacool,0.9 m,45.5 kg,Water,Poison,Blue,Tentacruel
#070,Weepinbell,1.0 m,6.4 kg,Grass,Poison,Green,Victreebel
#069,Bellsprout,0.7 m,4.0 kg,Grass,Poison,Green,Weepinbell
#068,Machamp,1.6 m,130.0 kg,Fighting,Unknown,Gray,Final
#067,Machoke,1.5 m,70.5 kg,Fighting,Unknown,Gray,Machamp
#066,Machop,0.8 m,19.5 kg,Fighting,Unknown,Gray,Machoke
#065,Alakazam,1.5 m,48.0 kg,Psychic,Unknown,Brown,Final
#064,Kadabra,1.3 m,56.5 kg,Psychic,Unknown,Brown,Alakazam
#062,Poliwrath,1.3 m,54.0 kg,Water,Fighting,Blue,Final
#061,Poliwhirl,1.0 m,20.0 kg,Water,Unknown,Blue,Politoed;Poliwrath
#060,Poliwag,0.6 m,12.4 kg,Water,Unknown,Blue,Poliwhirl
#059,Arcanine,1.9 m,155.0 kg,Fire,Unknown,Brown,Final
#058,Growlithe,0.7 m,19.0 kg,Fire,Unknown,Brown,Arcanine
#057,Primeape,1.0 m,32.0 kg,Fighting,Unknown,Brown,Final
#063,Abra,0.9 m,19.5 kg,Psychic,Unknown,Brown,Kadabra
#049,Venomoth,1.5 m,12.5 kg,Bug,Poison,Purple,Final
#056,Mankey,0.5 m,28.0 kg,Fighting,Unknown,Brown,Primeape
#055,Golduck,1.7 m,76.6 kg,Water,Unknown,Blue,Final
#054,Psyduck,0.8 m,19.6 kg,Water,Unknown,Yellow,Golduck
#053,Persian,1.0 m,32.0 kg,Normal,Unknown,Yellow,Final
#052,Meowth,0.4 m,4.2 kg,Normal,Unknown,Yellow,Perrserker;Persian;Alolan Persian
#051,Dugtrio,0.7 m,33.3 kg,Ground,Unknown,Brown,Final
#050,Diglett,0.2 m,0.8 kg,Ground,Unknown,Brown,Alolan Dugtrio;Dugtrio
#048,Venonat,1.0 m,30.0 kg,Bug,Poison,Purple,Venomoth
#047,Parasect,1.0 m,29.5 kg,Bug,Grass,Red,Final
#040,Wigglytuff,1.0 m,12.0 kg,Normal,Fairy,Pink,Final
#046,Paras,0.3 m,5.4 kg,Bug,Grass,Red,Parasect
#045,Vileplume,1.2 m,18.6 kg,Grass,Poison,Red,Final
#044,Gloom,0.8 m,8.6 kg,Grass,Poison,Blue,Vileplume;Bellossom
#043,Oddish,0.5 m,5.4 kg,Grass,Poison,Blue,Gloom
#042,Golbat,1.6 m,55.0 kg,Poison,Flying,Purple,Crobat
#041,Zubat,0.8 m,7.5 kg,Poison,Flying,Purple,Golbat
#039,Jigglypuff,0.5 m,5.5 kg,Normal,Fairy,Pink,Wigglytuff
#038,Ninetales,1.1 m,19.9 kg,Fire,Unknown,Yellow,Final
#036,Clefable,1.3 m,40.0 kg,Fairy,Unknown,Pink,Final
#037,Vulpix,0.6 m,9.9 kg,Fire,Unknown,Brown,Ninetales;Alolan Ninetales
#035,Clefairy,0.6 m,7.5 kg,Fairy,Unknown,Pink,Clefable
#034,Nidoking,1.4 m,62.0 kg,Poison,Ground,Purple,Final
#032,Nidoran♂,0.5 m,9.0 kg,Poison,Unknown,Purple,Nidorino
#033,Nidorino,0.9 m,19.5 kg,Poison,Unknown,Purple,Nidoking
#030,Nidorina,0.8 m,20.0 kg,Poison,Unknown,Blue,Nidoqueen
#031,Nidoqueen,1.3 m,60.0 kg,Poison,Ground,Blue,Final
#029,Nidoran♀,0.4 m,7.0 kg,Poison,Unknown,Blue,Nidorina
#028,Sandslash,1.0 m,29.5 kg,Ground,Unknown,Yellow,Final
#027,Sandshrew,0.6 m,12.0 kg,Ground,Unknown,Yellow,Alolan Sandslash;Sandslash
#010,Caterpie,0.3 m,2.9 kg,Bug,Unknown,Green,Metapod
#009,Blastoise,1.6 m,85.5 kg,Water,Unknown,Blue,Final
#026,Raichu,0.8 m,30.0 kg,Electric,Unknown,Yellow,Final
#008,Wartortle,1.0 m,22.5 kg,Water,Unknown,Blue,Blastoise
#007,Squirtle,0.5 m,9.0 kg,Water,Unknown,Blue,Wartortle
#006,Charizard,1.7 m,90.5 kg,Fire,Flying,Red,Final
#005,Charmeleon,1.1 m,19.0 kg,Fire,Unknown,Red,Charizard
#004,Charmander,0.6 m,8.5 kg,Fire,Unknown,Red,Charmeleon
#002,Ivysaur,1.0 m,13.0 kg,Grass,Poison,Green,Venusaur
#001,Bulbasaur,0.7 m,6.9 kg,Grass,Poison,Green,Ivysaur
#003,Venusaur,2.0 m,100.0 kg,Grass,Poison,Green,Final
